Date,URL,回数,タイトル,録音の有無,スピーカー
2022-10-17,https://x.com/i/spaces/1MYxNgaRWDvKw,,,なし,
2022-10-27,https://x.com/i/spaces/1ypKddWRgXVKW,,,なし,
2022-11-03,https://x.com/i/spaces/1lDGLnbraOmxm,,,なし,
2022-11-10,https://x.com/i/spaces/1BdxYyLkdlExX,,,なし,
2022-11-17,https://x.com/i/spaces/1YpJkgalkkMJj,,,なし,
2022-12-01,https://x.com/i/spaces/1YpKkgDPvwBKj,,,なし,
2022-12-08,https://x.com/i/spaces/1yoKMZmAnalGQ,,,なし,
2022-12-15,https://x.com/i/spaces/1LyxBqkDAMLJN,,,なし,
2022-12-22,https://x.com/i/spaces/1nAKErnEpRvGL,,,なし,
2023-03-02,https://x.com/i/spaces/1ZkKzXyBNjDJv,,,なし,
2023-03-09,https://x.com/i/spaces/1vAGRAbrjXNKl,,,なし,
2023-03-23,https://x.com/i/spaces/1PlJQpQWLQdGE,,,なし,
2023-06-01,https://x.com/i/spaces/1YpKkgQygvAKj,,,なし,
2023-06-08,https://x.com/i/spaces/1lPKqBVkpOQGb,,,なし,
2023-06-22,https://x.com/i/spaces/1vAxRArropvJl,,,なし,
2023-06-29,https://x.com/i/spaces/1OdKrzBEkvnKX,,,なし,
2023-08-31,https://x.com/i/spaces/1yNxaNLZNrvKj,36,#Vizトーク 第36回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Satoshi Ganeko(@ritz_Tableau), Chiaki(@ishiaki_tab), Takafumi Shukuya(@O_Syringa_Z), T.tanimoto(@HkJHF3vTWcrqtIg)"
2023-09-07,https://x.com/i/spaces/1yoKMZPDbnDGQ,,#Vizトーク 第37回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2023-09-14,https://x.com/i/spaces/1lPJqBvOjXwxb,,#Vizトーク 第38回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2023-09-21,https://x.com/i/spaces/1YqKDgPjyQYxV,,#Vizトーク 第39回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Takafumi Shukuya(@O_Syringa_Z)"
2023-09-28,https://x.com/i/spaces/1mnxepyAPdPJX,,#Vizトーク 第40回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2023-10-19,https://x.com/i/spaces/1jMKgmbypvAJL,,#Vizトーク 第41回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2023-10-26,https://x.com/i/spaces/1zqJVqyPBlDGB,,#Vizトーク 第42回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2023-11-02,https://x.com/i/spaces/1YpKkwRnOkjKj,,#Vizトーク 第43回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z), Norito.Nakamura(のりぴー)(@tab_no5)"
2023-11-16,https://x.com/i/spaces/1mrGmyXYEYMGy,,#Vizトーク 第44回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Takafumi Shukuya(@O_Syringa_Z), T.tanimoto(@HkJHF3vTWcrqtIg)"
2023-11-23,https://x.com/i/spaces/1jMJgmzMMneKL,,#Vizトーク 第45回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2023-12-07,https://x.com/i/spaces/1lPKqbPAzyeGb,,#Vizトーク 第46回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2023-12-21,https://x.com/i/spaces/1BRJjPaEeMVKw,,#Vizトーク 第47回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2024-01-04,https://x.com/i/spaces/1yoJMwOkjgNKQ,,#Vizトーク 第48回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2024-01-11,https://x.com/i/spaces/1ynJOymbBmWKR,,#Vizトーク 第49回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Takafumi Shukuya(@O_Syringa_Z)"
2024-01-18,https://x.com/i/spaces/1ypKdkjQLmnxW,,#Vizトーク 第50回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2024-01-25,https://x.com/i/spaces/1yNGaZwRpnDJj,51,#Vizトーク 第51回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2024-02-01,https://x.com/i/spaces/1lDxLPqlApoxm,,#Vizトーク 第52回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms); スピーカー: Hideaki Yamamoto/Chasoso(@_Chasoso), おつう|Tsubasa Kitahara(@tsu_chaan), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2024-02-15,https://x.com/i/spaces/1nAJEabPOVgJL,,#Vizトーク 第53回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms); スピーカー: Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2024-02-22,https://x.com/i/spaces/1gqGvQBVwyWKB,,#Vizトーク 第54回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), カメさん Hiroyoshi Kamegaki(@ksnjr24), Takafumi Shukuya(@O_Syringa_Z)"
2024-02-29,https://x.com/i/spaces/1MnxnMnywgoJO,,#Vizトーク 第55回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms); スピーカー: KT@Canva Japan(@DATA_Saber), Norito.Nakamura(のりぴー)(@tab_no5)"
2024-03-07,https://x.com/i/spaces/1RDGlloOqEgGL,,#Vizトーク 第56回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms)"
2024-03-14,https://x.com/i/spaces/1LyGBnwlMejGN,,#Vizトーク 第57回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2024-03-21,https://x.com/i/spaces/1BdGYrPXdkLJX,,#Vizトーク 第58回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2024-04-04,https://x.com/i/spaces/1MnxnMmLBowJO,,#Vizトーク 第59回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Satoshi Ganeko(@ritz_Tableau), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
